,mal_id,episodes,airing,duration,rating,score,scored_by,rank,popularity,year,genres,Action,Adventure,Award Winning,Comedy,Drama,Fantasy,Horror,Mystery,Romance,Sci-Fi,Slice of Life,Sports,Supernatural,Suspense
20,142,44.0,False,24,14,7.47,28152.0,1875.0,2843,1999.0,"Action,Drama,Mystery,Romance,Supernatural",1,0,0,0,1,0,0,1,1,0,0,0,1,0
21,143,12.0,False,24,14,6.81,30123.0,4963.0,2498,2004.0,"Drama,Girls Love,Supernatural",0,0,0,0,1,0,0,0,0,0,0,0,1,0
22,144,13.0,False,24,0,7.07,27011.0,3804.0,2617,2002.0,"Drama,Romance,Supernatural",0,0,0,0,1,0,0,0,1,0,0,0,1,0
23,145,26.0,False,24,14,7.59,79879.0,1456.0,1034,1998.0,"Comedy,Drama,Romance",0,0,0,1,1,0,0,0,1,0,0,0,0,0
24,146,12.0,False,24,16,6.71,28617.0,5488.0,2727,2004.0,"Comedy,Drama,Romance,Sci-Fi,Ecchi",0,0,0,1,1,0,0,0,1,1,0,0,0,0
0,147,14.0,False,23,16,7.18,68189.0,3269.0,1556,2003.0,"Drama,Romance",0,0,0,0,1,0,0,0,1,0,0,0,0,0
1,148,12.0,False,24,14,6.55,2716.0,6360.0,6431,2004.0,"Drama,Romance",0,0,0,0,1,0,0,0,1,0,0,0,0,0
2,149,12.0,False,24,14,6.75,69870.0,5271.0,1569,2005.0,"Boys Love,Drama,Mystery,Supernatural",0,0,0,0,1,0,0,1,0,0,0,0,1,0
3,150,50.0,False,24,18,7.62,158266.0,1383.0,605,2005.0,"Action,Drama,Horror,Mystery,Supernatural",1,0,0,0,1,0,1,1,0,0,0,0,1,0
5,152,24.0,False,23,18,7.28,12575.0,2702.0,3947,2005.0,"Action,Sci-Fi",1,0,0,0,0,0,0,0,0,1,0,0,0,0
6,153,45.0,False,25,14,8.02,44969.0,580.0,1493,2002.0,"Action,Adventure,Fantasy",1,1,0,0,0,1,0,0,0,0,0,0,0,0
7,154,64.0,False,23,14,7.75,193760.0,1072.0,630,2001.0,"Action,Adventure,Supernatural",1,1,0,0,0,0,0,0,0,0,0,0,1,0
9,156,24.0,False,24,16,7.4,35016.0,2165.0,2283,2001.0,"Action,Drama,Fantasy,Mystery",1,0,0,0,1,1,0,1,0,0,0,0,0,0
10,157,26.0,False,23,14,6.93,63997.0,4415.0,1566,2005.0,"Action,Comedy,Fantasy,Romance,Ecchi",1,0,0,1,0,1,0,0,1,0,0,0,0,0
11,158,13.0,False,24,14,7.29,21472.0,2655.0,2537,2004.0,"Drama,Girls Love",0,0,0,0,1,0,0,0,0,0,0,0,0,0
12,159,24.0,False,23,14,6.28,6046.0,7836.0,4876,2004.0,"Action,Adventure,Fantasy,Horror,Sci-Fi",1,1,0,0,0,1,1,0,0,1,0,0,0,0
13,160,13.0,False,24,18,7.6,41752.0,1437.0,1541,1999.0,"Adventure,Drama,Fantasy,Sci-Fi",0,1,0,0,1,1,0,0,0,1,0,0,0,0
14,161,24.0,False,24,18,7.3,23257.0,2646.0,2808,2003.0,"Action,Comedy",1,0,0,1,0,0,0,0,0,0,0,0,0,0
15,162,26.0,False,24,0,6.94,10588.0,4408.0,4398,2002.0,"Comedy,Fantasy,Romance",0,0,0,1,0,1,0,0,1,0,0,0,0,0
16,163,26.0,False,20,10,6.55,3749.0,6380.0,6853,1999.0,"Adventure,Comedy,Fantasy",0,1,0,1,0,1,0,0,0,0,0,0,0,0
18,165,26.0,False,23,14,7.39,42919.0,2228.0,1790,2002.0,"Action,Award Winning,Drama,Mystery,Romance,Sci-Fi",1,0,1,0,1,0,0,1,1,1,0,0,0,0
19,166,26.0,False,26,14,7.44,62448.0,1998.0,1663,2004.0,"Action,Sci-Fi",1,0,0,0,0,0,0,0,0,1,0,0,0,0
20,167,24.0,False,23,14,7.38,37930.0,2243.0,2082,2003.0,"Action,Adventure,Drama,Fantasy,Sci-Fi",1,1,0,0,1,1,0,0,0,1,0,0,0,0
21,168,26.0,False,24,14,7.36,38424.0,2357.0,2271,2001.0,"Action,Adventure,Drama,Sci-Fi",1,1,0,0,1,0,0,0,0,1,0,0,0,0
22,169,12.0,False,24,18,6.81,70855.0,4979.0,1362,2003.0,"Action,Horror,Mystery,Romance,Supernatural",1,0,0,0,0,0,1,1,1,0,0,0,1,0
23,170,101.0,False,23,14,8.55,133140.0,102.0,800,1993.0,Sports,0,0,0,0,0,0,0,0,0,0,0,1,0,0
24,171,13.0,False,23,10,6.35,1623.0,7434.0,7766,2000.0,"Adventure,Drama,Fantasy",0,1,0,0,1,1,0,0,0,0,0,0,0,0
0,173,25.0,False,24,14,7.19,14152.0,3175.0,3377,2004.0,"Mystery,Supernatural",0,0,0,0,0,0,0,1,0,0,0,0,1,0
1,174,24.0,False,23,18,6.87,89988.0,4728.0,1228,2004.0,"Action,Drama,Supernatural,Ecchi",1,0,0,0,1,0,0,0,0,0,0,0,1,0
2,175,26.0,False,25,14,6.59,11606.0,6103.0,3983,2002.0,"Action,Adventure,Romance,Sci-Fi",1,1,0,0,0,0,0,0,1,1,0,0,0,0
4,177,26.0,False,25,14,7.52,96092.0,1709.0,1035,2005.0,"Action,Adventure,Fantasy,Romance",1,1,0,0,0,1,0,0,1,0,0,0,0,0
5,178,26.0,False,24,0,7.16,13768.0,3349.0,3741,2003.0,"Comedy,Romance",0,0,0,1,0,0,0,0,1,0,0,0,0,0
7,180,13.0,False,22,14,7.16,43524.0,3350.0,2246,2000.0,"Action,Sci-Fi,Ecchi",1,0,0,0,0,0,0,0,0,1,0,0,0,0
